trade_date,ts_code,name,list_date
20210129,000821.SZ,京山轻机,19980626
20210129,000822.SZ,山东海化,19980703
20210129,000823.SZ,超声电子,19971008
20210129,000825.SZ,太钢不锈,19981021
20210129,000826.SZ,启迪环境,19980225
20210129,000828.SZ,东莞控股,19970617
20210129,000829.SZ,天音控股,19971202
20210129,000830.SZ,鲁西化工,19980807
20210129,000831.SZ,五矿稀土,19980911
20210129,000833.SZ,粤桂股份,19981111
20210129,000835.SZ,*ST长动,19990625
20210129,000836.SZ,富通信息,19970929
20210129,000837.SZ,*ST秦机,19980928
20210129,000838.SZ,财信发展,19970626
20210129,000839.SZ,中信国安,19971031
20210129,000848.SZ,承德露露,19971113
20210129,000850.SZ,华茂股份,19981007
20210129,000851.SZ,高鸿股份,19980609
20210129,000852.SZ,石化机械,19981126
20210129,000856.SZ,冀东装备,19980813
20210129,000858.SZ,五 粮 液,19980427
20210129,000859.SZ,国风塑业,19981119
20210129,000860.SZ,顺鑫农业,19981104
20210129,000861.SZ,海印股份,19981028
20210129,000862.SZ,银星能源,19980915
20210129,000863.SZ,三湘印象,19970925
20210129,000868.SZ,ST安凯,19970725
20210129,000869.SZ,张 裕Ａ,20001026
20210129,000875.SZ,吉电股份,20020926
20210129,000876.SZ,新 希 望,19980311
20210129,000877.SZ,天山股份,19990107
20210129,000878.SZ,云南铜业,19980602
20210129,000880.SZ,潍柴重机,19980402
20210129,000881.SZ,中广核技,19980902
20210129,000882.SZ,华联股份,19980616
20210129,000883.SZ,湖北能源,19980519
20210129,000885.SZ,城发环境,19990319
20210129,000886.SZ,海南高速,19980123
20210129,000887.SZ,中鼎股份,19981203
20210129,000888.SZ,峨眉山Ａ,19971021
20210129,000889.SZ,中嘉博创,19971218
20210129,000890.SZ,*ST胜尔,19990119
20210129,000892.SZ,欢瑞世纪,19990115
20210129,000893.SZ,亚钾国际,19981224
20210129,000895.SZ,双汇发展,19981210
20210129,000897.SZ,津滨发展,19990422
20210129,000898.SZ,鞍钢股份,19971225
20210129,000899.SZ,赣能股份,19971126
20210129,000900.SZ,现代投资,19990128
20210129,000901.SZ,航天科技,19990401
20210129,000902.SZ,新洋丰,19990408
20210129,000903.SZ,云内动力,19990415
20210129,000905.SZ,厦门港务,19990429
20210129,000906.SZ,浙商中拓,19990707
20210129,000908.SZ,景峰医药,19990203
20210129,000909.SZ,数源科技,19990507
20210129,000910.SZ,大亚圣象,19990630
20210129,000911.SZ,南宁糖业,19990527
20210129,000912.SZ,泸天化,19990603
20210129,000913.SZ,钱江摩托,19990514
20210129,000915.SZ,山大华特,19990609
20210129,000917.SZ,电广传媒,19990325
20210129,000918.SZ,嘉凯城,19990720
20210129,000919.SZ,金陵药业,19991118
20210129,000920.SZ,南方汇通,19990616
20210129,000921.SZ,海信家电,19990713
20210129,000922.SZ,佳电股份,19990618
20210129,000923.SZ,河钢资源,19990714
20210129,000925.SZ,众合科技,19990611
20210129,000926.SZ,福星股份,19990618
20210129,000927.SZ,中国铁物,19990727
20210129,000928.SZ,中钢国际,19990312
20210129,000929.SZ,兰州黄河,19990623
20210129,000930.SZ,中粮科技,19990712
20210129,000931.SZ,中 关 村,19990712
20210129,000932.SZ,华菱钢铁,19990803
20210129,000933.SZ,神火股份,19990831
20210129,000935.SZ,四川双马,19990824
20210129,000936.SZ,华西股份,19990810
20210129,000937.SZ,冀中能源,19990909
20210129,000938.SZ,紫光股份,19991104
20210129,000948.SZ,南天信息,19991014
20210129,000949.SZ,新乡化纤,19991021
20210129,000950.SZ,重药控股,19990916
20210129,000951.SZ,中国重汽,19991125
20210129,000952.SZ,广济药业,19991112
20210129,000953.SZ,*ST河化,19991202
20210129,000955.SZ,欣龙控股,19991209
20210129,000957.SZ,中通客车,20000113
20210129,000958.SZ,东方能源,19991223
20210129,000959.SZ,首钢股份,19991216
20210129,000960.SZ,锡业股份,20000221
20210129,000961.SZ,中南建设,20000301
20210129,000962.SZ,东方钽业,20000120
20210129,000963.SZ,华东医药,20000127
20210129,000965.SZ,天保基建,20000406
20210129,000966.SZ,长源电力,20000316
20210129,000967.SZ,盈峰环境,20000330
20210129,000968.SZ,蓝焰控股,20000622
20210129,000969.SZ,安泰科技,20000529
20210129,000970.SZ,中科三环,20000420
20210129,000971.SZ,*ST高升,20000427
20210129,000972.SZ,ST中基,20000926
20210129,000973.SZ,佛塑科技,20000525
20210129,000975.SZ,银泰黄金,20000608
20210129,000976.SZ,华铁股份,20000601
20210129,000977.SZ,浪潮信息,20000608
20210129,000978.SZ,桂林旅游,20000518
20210129,000980.SZ,*ST众泰,20000616
20210129,000981.SZ,*ST银亿,20000622
20210129,000982.SZ,*ST 中绒,20000706
20210129,000983.SZ,山西焦煤,20000726
20210129,000985.SZ,大庆华科,20000726
20210129,000987.SZ,越秀金控,20000718
20210129,000988.SZ,华工科技,20000608
20210129,000989.SZ,九 芝 堂,20000628
20210129,000990.SZ,诚志股份,20000706
20210129,000993.SZ,闽东电力,20000731
20210129,000995.SZ,皇台酒业,20000807
20210129,000996.SZ,中国中期,20000718
20210129,000997.SZ,新 大 陆,20000807
20210129,000998.SZ,隆平高科,20001211
20210129,000999.SZ,华润三九,20000309
20210129,001696.SZ,宗申动力,19970306
20210129,001872.SZ,招商港口,19930505
20210129,001896.SZ,豫能控股,19980122
20210129,001914.SZ,招商积余,19940928
20210129,001965.SZ,招商公路,20171225
20210129,001979.SZ,招商蛇口,20151230
20210129,002001.SZ,新 和 成,20040625
20210129,002002.SZ,鸿达兴业,20040625
20210129,002003.SZ,伟星股份,20040625
20210129,002004.SZ,华邦健康,20040625
20210129,002005.SZ,ST德豪,20040625
20210129,002006.SZ,精功科技,20040625
20210129,002007.SZ,华兰生物,20040625
20210129,002008.SZ,大族激光,20040625
20210129,002009.SZ,天奇股份,20040629
20210129,002010.SZ,传化智联,20040629
20210129,002011.SZ,盾安环境,20040705
20210129,002012.SZ,凯恩股份,20040705
20210129,002013.SZ,中航机电,20040705
20210129,002014.SZ,永新股份,20040708
20210129,002015.SZ,协鑫能科,20040708
20210129,002016.SZ,世荣兆业,20040708
20210129,002017.SZ,东信和平,20040713
20210129,002019.SZ,亿帆医药,20040713
20210129,002020.SZ,京新药业,20040715
20210129,002021.SZ,ST中捷,20040715
20210129,002022.SZ,科华生物,20040721
20210129,002023.SZ,海特高新,20040721
20210129,002024.SZ,苏宁易购,20040721
20210129,002025.SZ,航天电器,20040726
20210129,002026.SZ,山东威达,20040727
20210129,002027.SZ,分众传媒,20040804
20210129,002028.SZ,思源电气,20040805
20210129,002029.SZ,七 匹 狼,20040806
20210129,002030.SZ,达安基因,20040809
20210129,002031.SZ,巨轮智能,20040816
20210129,002032.SZ,苏 泊 尔,20040817
20210129,002033.SZ,丽江股份,20040825
20210129,002034.SZ,旺能环境,20040826
20210129,002035.SZ,华帝股份,20040901
20210129,002036.SZ,联创电子,20040903
20210129,002037.SZ,保利联合,20040908
20210129,002038.SZ,双鹭药业,20040909
20210129,002039.SZ,黔源电力,20050303
20210129,002040.SZ,南 京 港,20050325
20210129,002041.SZ,登海种业,20050418
20210129,002042.SZ,华孚时尚,20050427
20210129,002043.SZ,兔 宝 宝,20050510
20210129,002044.SZ,美年健康,20050518
20210129,002045.SZ,国光电器,20050523
20210129,002046.SZ,国机精工,20050526
20210129,002047.SZ,宝鹰股份,20050531
20210129,002048.SZ,宁波华翔,20050603
20210129,002049.SZ,紫光国微,20050606
20210129,002050.SZ,三花智控,20050607
20210129,002051.SZ,中工国际,20060619
20210129,002052.SZ,*ST同洲,20060627
20210129,002053.SZ,云南能投,20060627
20210129,002054.SZ,德美化工,20060725
20210129,002055.SZ,得润电子,20060725
20210129,002056.SZ,横店东磁,20060802
20210129,002057.SZ,中钢天源,20060802
20210129,002058.SZ,威 尔 泰,20060802
20210129,002059.SZ,云南旅游,20060810
20210129,002060.SZ,粤 水 电,20060810
20210129,002061.SZ,浙江交科,20060816
20210129,002062.SZ,宏润建设,20060816
20210129,002063.SZ,远光软件,20060823
20210129,002064.SZ,华峰化学,20060823
20210129,002065.SZ,东华软件,20060823
20210129,002066.SZ,瑞泰科技,20060823
20210129,002067.SZ,景兴纸业,20060915
20210129,002068.SZ,黑猫股份,20060915
20210129,002069.SZ,獐子岛,20060928
20210129,002071.SZ,*ST长城,20061012
20210129,002072.SZ,ST凯瑞,20061018
20210129,002073.SZ,软控股份,20061018
20210129,002074.SZ,国轩高科,20061018
20210129,002075.SZ,沙钢股份,20061025
20210129,002076.SZ,*ST雪莱,20061025
20210129,002077.SZ,*ST大港,20061116
20210129,002078.SZ,太阳纸业,20061116
20210129,002079.SZ,苏州固锝,20061116
20210129,002080.SZ,中材科技,20061120
20210129,002081.SZ,金 螳 螂,20061120
20210129,002082.SZ,万邦德,20061120
20210129,002083.SZ,孚日股份,20061124
20210129,002084.SZ,海鸥住工,20061124
20210129,002085.SZ,万丰奥威,20061128
20210129,002086.SZ,*ST东洋,20061128
20210129,002087.SZ,新野纺织,20061130
20210129,002088.SZ,鲁阳节能,20061130
20210129,002089.SZ,ST新海,20061130
20210129,002090.SZ,金智科技,20061208
20210129,002091.SZ,江苏国泰,20061208
20210129,002092.SZ,中泰化学,20061208
20210129,002093.SZ,国脉科技,20061215
20210129,002094.SZ,青岛金王,20061215
20210129,002095.SZ,生 意 宝,20061215
20210129,002096.SZ,南岭民爆,20061222
20210129,002097.SZ,山河智能,20061222
20210129,002098.SZ,浔兴股份,20061222
20210129,002099.SZ,海翔药业,20061226
20210129,002100.SZ,天康生物,20061226
20210129,002101.SZ,广东鸿图,20061229
20210129,002102.SZ,ST冠福,20061229
20210129,002103.SZ,广博股份,20070110
20210129,002104.SZ,恒宝股份,20070110
20210129,002105.SZ,信隆健康,20070112
20210129,002106.SZ,莱宝高科,20070112
20210129,002107.SZ,沃华医药,20070124
20210129,002108.SZ,沧州明珠,20070124
20210129,002109.SZ,兴化股份,20070126
20210129,002110.SZ,三钢闽光,20070126
20210129,002111.SZ,威海广泰,20070126
20210129,002112.SZ,三变科技,20070208
20210129,002113.SZ,*ST天润,20070208
20210129,002114.SZ,罗平锌电,20070215
20210129,002115.SZ,三维通信,20070215
20210129,002116.SZ,中国海诚,20070215
20210129,002117.SZ,东港股份,20070302
20210129,002118.SZ,紫鑫药业,20070302
20210129,002119.SZ,康强电子,20070302
20210129,002120.SZ,韵达股份,20070306
20210129,002121.SZ,*ST科陆,20070306
20210129,002122.SZ,*ST天马,20070328
20210129,002123.SZ,梦网科技,20070328
20210129,002124.SZ,天邦股份,20070403
20210129,002125.SZ,湘潭电化,20070403
20210129,002126.SZ,银轮股份,20070418
20210129,002127.SZ,南极电商,20070418
20210129,002128.SZ,露天煤业,20070418
20210129,002129.SZ,中环股份,20070420
20210129,002130.SZ,沃尔核材,20070420
20210129,002131.SZ,利欧股份,20070427
20210129,002132.SZ,恒星科技,20070427
20210129,002133.SZ,广宇集团,20070427
20210129,002134.SZ,天津普林,20070516
20210129,002135.SZ,东南网架,20070530
20210129,002136.SZ,安 纳 达,20070530
20210129,002137.SZ,麦达数字,20070613
20210129,002138.SZ,顺络电子,20070613
20210129,002139.SZ,拓邦股份,20070629
20210129,002140.SZ,东华科技,20070712
20210129,002141.SZ,贤丰控股,20070720
20210129,002142.SZ,宁波银行,20070719
20210129,002144.SZ,宏达高科,20070803
20210129,002145.SZ,中核钛白,20070803
20210129,002146.SZ,荣盛发展,20070808
20210129,002147.SZ,*ST新光,20070808
20210129,002148.SZ,北纬科技,20070810
20210129,002149.SZ,西部材料,20070810
20210129,002150.SZ,通润装备,20070810
20210129,002151.SZ,北斗星通,20070813
20210129,002152.SZ,广电运通,20070813
20210129,002153.SZ,石基信息,20070813
20210129,002154.SZ,报 喜 鸟,20070816
20210129,002155.SZ,湖南黄金,20070816
20210129,002156.SZ,通富微电,20070816
20210129,002157.SZ,正邦科技,20070817
20210129,002158.SZ,汉钟精机,20070817
20210129,002159.SZ,三特索道,20070817
20210129,002160.SZ,常铝股份,20070821
20210129,002161.SZ,远 望 谷,20070821
20210129,002162.SZ,悦心健康,20070823
20210129,002163.SZ,海南发展,20070823
20210129,002164.SZ,宁波东力,20070823
20210129,002165.SZ,红 宝 丽,20070913
20210129,002166.SZ,莱茵生物,20070913
20210129,002167.SZ,东方锆业,20070913
20210129,002168.SZ,惠程科技,20070919
20210129,002169.SZ,智光电气,20070919
20210129,002170.SZ,芭田股份,20070919
20210129,002171.SZ,楚江新材,20070921
20210129,002172.SZ,澳洋健康,20070921
20210129,002173.SZ,创新医疗,20070925
20210129,002174.SZ,游族网络,20070925
20210129,002175.SZ,ST东网,20071012
20210129,002176.SZ,*ST江特,20071012
20210129,002177.SZ,御银股份,20071101
20210129,002178.SZ,延华智能,20071101
20210129,002179.SZ,中航光电,20071101
20210129,002180.SZ,纳思达,20071113
20210129,002181.SZ,粤 传 媒,20071116
20210129,002182.SZ,云海金属,20071113
20210129,002183.SZ,怡 亚 通,20071113
20210129,002184.SZ,海得控制,20071116
20210129,002185.SZ,华天科技,20071120
20210129,002186.SZ,全 聚 德,20071120
20210129,002187.SZ,广百股份,20071122
20210129,002188.SZ,ST巴士,20071122
20210129,002189.SZ,中光学,20071203
20210129,002190.SZ,成飞集成,20071203
20210129,002191.SZ,劲嘉股份,20071205
20210129,002192.SZ,*ST融捷,20071205
20210129,002193.SZ,如意集团,20071207
20210129,002194.SZ,武汉凡谷,20071207
20210129,002195.SZ,二三四五,20071212
20210129,002196.SZ,方正电机,20071212
20210129,002197.SZ,证通电子,20071218
20210129,002198.SZ,嘉应制药,20071218
20210129,002199.SZ,东晶电子,20071221
20210129,002200.SZ,ST云投,20071221
20210129,002201.SZ,九鼎新材,20071226
20210129,002202.SZ,金风科技,20071226
20210129,002203.SZ,海亮股份,20080116
20210129,002204.SZ,大连重工,20080116
